Publication Day,Publication Month,Publication Year,Authors,Title,Source,Abstract
4,7,2017,Heather B Patisaul,Endocrine Disruption of Vasopressin Systems and Related Behaviors.,Frontiers in endocrinology,"Endocrine disrupting chemicals (EDCs) are chemicals that interfere with the organizational or activational effects of hormones. Although the vast majority of the EDC literature focuses on steroid hormone signaling related impacts, growing evidence from a myriad of species reveals that the nonapeptide hormones vasopressin (AVP) and oxytocin (OT) may also be EDC targets. EDCs shown to alter pathways and behaviors coordinated by AVP and/or OT include the plastics component bisphenol A (BPA), the soy phytoestrogen genistein (GEN), and various flame retardants. Many effects are sex specific and likely involve action at nuclear estrogen receptors. Effects include the elimination or reversal of well-characterized sexually dimorphic aspects of the AVP system, including innervation of the lateral septum and other brain regions critical for social and other non-reproductive behaviors. Disruption of magnocellular AVP function has also been reported in rats, suggesting possible effects on hemodynamics and cardiovascular function."
5,7,2017,"Thomas W K Fraser, Abdolrahman Khezri, Juan G H Jusdado, Anna M Lewandowska-Sabat, Theodore Henry, Erik Ropstad",Toxicant induced behavioural aberrations in larval zebrafish are dependent on minor methodological alterations.,Toxicology letters,"Alterations in zebrafish motility are used to identify neurotoxic compounds, but few have reported how methodology may affect results. To investigate this, we exposed embryos to bisphenol A (BPA) or tetrabromobisphenol A (TBBPA) before assessing larval motility. Embryos were maintained on a day/night cycle (DN) or in constant darkness, were reared in 96 or 24 well plates (BPA only), and behavioural tests were carried out at 96, 100, or 118 (BPA only) hours post fertilisation (hpf). We found that the prior photo-regime, larval age, and/or arena size influence behavioural outcomes in response to toxicant exposure. For example, methodology determined whether 10μM BPA induced hyperactivity, hypoactivity, or had no behavioural effect. Furthermore, the minimum effect concentration was not consistent between different methodologies. Finally, we observed a mechanism previously used to explain hyperactivity following BPA exposure does not appear to explain the hypoactivity observed following minor alterations in methodology. Therefore, we demonstrate how methodology can have notable implications on dose responses and behavioural outcomes in larval zebrafish motility following identical chemical exposures. As such, our results have significant consequences for human and environmental risk assessment."
10,7,2017,"Heng Wang, Liangpo Liu, Syed Ali Musstjab Akber Shah Eqani, Heqing Shen",Infant Exposure to Bisphenol A Can Be Quantitatively Assessed by a Simply Improved High-Performance Liquid Chromatography-Tandem Mass-Spectrometry Method.,Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,"To quantitatively measure trace levels of bisphenol A (BPA) in infant urine, a simply improved high-performance liquid chromatography (HPLC)-tandem mass-spectrometry method was developed and validated. In the present work, a ZORBAX SB-C18 column (2.1 × 30 mm, 3.5 μm) was used for trapping and isolating BPA from the HPLC mobile phase. The result showed that the trapping column can provide effective separation from the background BPA to the sample BPA. This method has a limit of detection (LOD) of 0.048 μg/L, spiked recoveries 85.4% (0.50 - 10.0 μg/L), and relative standard deviations of 1.8 - 15.9%. By using its low-LOD advantage, we firstly reported that Chinese infants (n = 48 with age <6 months) have been ubiquitously exposed to BPA (detection frequency of 93%) with an median level of 0.13 μg/L (ranging from below LOD to 5.04 μg/L)."
13,7,2017,"Ji-Youn Kim, Ho-Gyu Choi, Hae-Miru Lee, Geum-A Lee, Kyung-A Hwang, Kyung-Chul Choi",Effects of bisphenol compounds on the growth and epithelial mesenchymal transition of MCF-7 CV human breast cancer cells.,Journal of biomedical research,"Bisphenol-A (BPA) has been considered as an endocrine disrupting chemical (EDC) because it can exert estrogenic properties. For bisphenol-S (BPS) and bisphenol-F (BPF) that are BPA analogs and substitutes, their risk to estrogen-dependent cancer has been reported rarely compared with the numerous cases of BPA. In this study, we examined whether BPA, BPS, and BPF can lead to the proliferation, migration, and epithelial mesenchymal transition (EMT) of MCF-7 clonal variant (MCF-7 CV) breast cancer cells expressing estrogen receptors (ERs). In a cell viability assay, BPA, BPS, and BPF significantly increased proliferation of MCF-7 CV cells compared to control (DMSO) as did 17β-estradiol (E2). In Western blotting assay, BPA, BPS, and BPF enhanced the protein expression of cell cycle progression genes such as cyclin D1 and E1. In addition, MCF-7 CV cells lost cell to cell contacts and acquired fibroblast-like morphology by the treatment of BPA, BPS, or BPF for 24 hours. In cell migration assay, BPA, BPS, and BPF accelerated the migration capability of MCF-7 CV cells as did E2. In relation with the EMT process, BPA, BPS, and BPF increased the protein expression ofN-cadherin, while they decreased the protein expression of E-cadherin. When BPA, BPS, and BPF were co-treated with ICI 182,780, an ER antagonist, proliferation effects were reversed, the expression of cyclin D1 and cyclin E1 was downregulated, and the altered cell migration and expression ofN-cadherin and E-cadherin by BPA, BPS, and BPF were restored to the control level. Thus, these results imply that BPS and BPF also have the risk of breast cancer progression as much as BPA in the induction of proliferation and migration of MCF-7 CV cells by regulating the protein expression of cell cycle-related genes and EMT markersvia the ER-dependent pathway."
13,7,2017,"Adam T Szafran, Fabio Stossi, Maureen G Mancini, Cheryl L Walker, Michael A Mancini",Characterizing properties of non-estrogenic substituted bisphenol analogs using high throughput microscopy and image analysis.,PloS one,"Animal studies have linked the estrogenic properties of bisphenol A (BPA) to adverse effects on the endocrine system. Because of concerns for similar effects in humans, there is a desire to replace BPA in consumer products, and a search for BPA replacements that lack endocrine-disrupting bioactivity is ongoing. We used multiple cell-based models, including an established multi-parametric, high throughput microscopy-based platform that incorporates engineered HeLa cell lines with visible ERα- or ERβ-regulated transcription loci, to discriminate the estrogen-like and androgen-like properties of previously uncharacterized substituted bisphenol derivatives and hydroquinone. As expected, BPA induced 70-80% of the estrogen-like activity via ERα and ERβ compared to E2 in the HeLa prolactin array cell line. 2,2' BPA, Bisguaiacol F, CHDM 4-hydroxybuyl acrylate, hydroquinone, and TM modified variants of BPF showed very limited estrogen-like or androgen-like activity (< 10% of that observed with the control compounds). Interestingly, TM-BFP and CHDM 4-hydroxybuyl acrylate, but not their derivatives, demonstrated evidence of anti-estrogenic and anti-androgenic activity. Our findings indicate that Bisguaiacol F, TM-BFP-ER and TM-BPF-DGE demonstrate low potential for affecting estrogenic or androgenic endocrine activity. This suggest that the tested compounds could be suitable commercially viable alternatives to BPA."
13,7,2017,"Paulina Urriola-Muñoz, Xue Li, Thorsten Maretzky, David R McIlwain, Tak W Mak, Juan G Reyes, Carl P Blobel, Ricardo D Moreno",The xenoestrogens biphenol-A and nonylphenol differentially regulate metalloprotease-mediated shedding of EGFR ligands.,Journal of cellular physiology,"The xenoestrogens bisphenol-A (BPA) and nonylphenol (NP) are endocrine disruptors used in the plastic polymer industry to manufacture different products for human use. Previous studies have suggested a role of these compounds in the shedding of signaling molecules, such as tumor necrosis factor α (TNF-α). The aim of this work was to evaluate the effect of BPA and NP on the sheddase ADAM17 and its newly discovered regulators iRhom1 and iRhom2 in the release of EGFR-ligands. We report that BPA and NP can stimulate the release of the ADAM17-substrates HB-EGF and TGF-α. In cells lacking ADAM17 (Adam17(-/-) mEFs) BPA-stimulated release of HB-EGF, but not TGF-α, was strongly reduced, whereas NP-stimulated shedding of HB-EGF and TGF-α was completely abolished. Inactivation of both ADAM17 and the related ADAM10 (Adam10/17(-/-) mEFs) completely prevented the release of these substrates. In the absence of iRhom1, BPA- or NP-stimulated release of HB-EGF or TGF-α was comparable to wild-type control mEFs, conversely the BPA-induced release of HB-EGF was abolished in iRhom2(-/-) mEFs. The defect in shedding of HB-EGF in iRhom2(-/-) mEF cells could be rescued by overexpressing iRhom2. Interestingly, the NP-stimulated release of HB-EGF was not affected by the absence of iRhom2, suggesting that NP could potentially activate both ADAM10 and ADAM17. We tested this hypothesis using betacellulin (BTC), an EGFR-ligand that is a substrate for ADAM10. We found that NP, but not BPA stimulated the release of BTC in Adam17(-/-) , iRhom2(-/-) , or iRhom1/2(-/-) , but not in Adam10/17(-/-) cells. Taken together, our results suggest that BPA and NP stimulate the release of EGFR-ligands by differentially activating ADAM17 or ADAM10. The identification of specific effects of these endocrine disruptors on ADAM10 and ADAM17 will help to provide a better understanding of their roles in cell signaling and proinflammatory processes, and provide new potential targets for treatment of reproductive or inflammatory diseases such as asthma or breast cancer that are promoted by xenoestrogens."
14,7,2017,"Wided Kouidhi, Letchumi Thannimalay, Chen Sau Soon, Mustafa Ali Mohd",Occupational exposure to bisphenol A (BPA) in a plastic injection molding factory in Malaysia.,International journal of occupational medicine and environmental health,The purpose of this study has been to assess ambient bisphenol A (BPA) levels in workplaces and urine levels of workers and to establish a BPA database for different populations in Malaysia.
15,7,2017,"Hui Wang, Zhen Ding, Qiao-Mei Shi, Xing Ge, Heng-Xue Wang, Meng-Xue Li, Gang Chen, Qi Wang, Qiang Ju, Jin-Peng Zhang, Mei-Rong Zhang, Li-Chun Xu",Anti-androgenic mechanisms of Bisphenol A involve androgen receptor signaling pathway.,Toxicology,"We have shown Bisphenol A (BPA) acts as an androgen receptor (AR) antagonist in the previous study. However, the mechanisms underlying anti-androgenic effects of BPA remain unclear. The objective of this study was to explore whether the AR signaling was involved in AR antagonism of BPA. The Cell Counting Kit-8 (CCK-8) assay and Real-Time Cell Analysis (RTCA) iCELLigence system were applied to analyze the mouse Sertoli cell TM4 proliferation. The mammalian two-hybrid assays were performed to investigate the effects of BPA on the AR amino- and carboxyl-terminal regions (N/C) interaction and the interactions of the AR with steroid receptor coactivator-1 (SRC-1), co-repressors including silencing mediator for thyroid hormone receptors (SMRT) and nuclear receptor co-repressor (NCoR). BPA exposure resulted in decreased TM4 cell proliferation. BPA inhibited the AR N/C interaction significantly. Furthermore, BPA enhanced the interactions of AR-SMRT and AR-NCoR significantly. In conclusion, these data suggest BPA inhibits Sertoli cell proliferation due to its anti-androgenic actions. The mechanisms responsible for AR antagonism of BPA involve inhibiting the AR N/C interaction and enhancing the interactions of AR-SMRT and AR-NCoR. The data uncover novel anti-androgenic mechanisms by which BPA antagonizes AR signaling, contributing to Sertoli cell proliferation suppression and male reproductive toxicology."
15,7,2017,"Chaelin Lee, Chong Hyeak Kim, Sunghwan Kim, Sung-Hee Cho",Simultaneous determination of bisphenol A and estrogens in hair samples by liquid chromatography-electrospray tandem mass spectrometry.,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences","Bisphenol A (BPA), an endocrine disrupter, is widely used to make chemicals for polycarbonate, plastics, beverage containers, epoxy resins, and cash register receipts. BPA is one of the known xenoestrogens, which have weak estrogenic activity and cause obesity, diabetes, breast cancer, and reproductive disorders. Even though the concentration level of metabolomes in hair is usually lower than that in urine and blood, there are several reasons why we chose to use hair samples. First, the sampling procedure of hairs is simple. Second, it is also easy to preserve the sample for long term and track the drug-exposure record of a given sample. Third, deformation and contamination of samples rarely occur. In this study, an improved analytical method to determine the levels of BPA and estrogens in hair samples was developed by liquid chromatography-electrospray tandem mass spectrometry (LC-ESI/MS/MS). Hair samples were extracted by an Oasis HLB extraction cartridge after incubation with 1N HCl and derivatized with dansyl chloride to increase sensitivity. BPA and estrogens (estrone, 17β-estradiol, and estriol) were separated using Shiseido CAPCELL PAK C18 column (2.0×100mm, 3μm) and a mobile phase consisting of 10mM ammonium acetate in water and acetonitrile with a gradient program at a flow rate of 0.3mL/min and were monitored with electrospray tandem mass spectrometry (ESI-MS/MS). The linearity of this method was over 0.995. The limits of detection (LOD) at a signal-to-noise (S/N) ratio of 3 were 0.25-6.0ng/g. The alteration of estrogens levels induced by BPA may play important role to understanding probable endocrine disruptive exposure, and the described methods could be used to evaluate and monitor exposure of endocrine disruptor."
17,7,2017,"Mark R Olson, Renwei Su, Jodi A Flaws, Asgerally T Fazleabas",Bisphenol A impairs decidualization of human uterine stromal fibroblasts.,"Reproductive toxicology (Elmsford, N.Y.)","This study examined the effect of bisphenol A (BPA) exposure on human uterine stromal fibroblast cells (HuF) undergoing decidualization. HuF cells were isolated and cultured for eight days in the presence of a decidualization-inducing cocktail, while concurrently exposed to physiological and supra-physiologic doses of BPA (1ng/mL, 10ng/mL, 0.5μg/mL, 10μg/mL and 20μg/mL). Decidualization markers, steroid hormone receptors and cell cycle gene expression were detected by qRT-PCR and cellular proliferation was assessed by KI-67 immunofluorescent staining and MTS assay. BPA impaired decidualization at 10μg/mL and 20μg/mL, but not at lower doses. Additionally, BPA at 20μg/mL decreased progesterone receptor and estrogen receptor-alpha compared to controls. The highest dose of BPA also reduced cellular proliferation and cyclin D2 expression compared to controls. These findings demonstrate that BPA disrupts in vitro decidualization of uterine stromal fibroblasts by altering steroid hormone receptor expression at higher concentrations but not at lower physiological doses."
17,7,2017,"Monica A Konerman, Mary Thomson, Kristen Gray, Meghan Moore, Hetal Choxi, Elizabeth Seif, Anna Sf Lok",Impact of an Electronic Health Record Alert in Primary Care on Increasing Hepatitis C Screening and Curative Treatment for Baby Boomers.,"Hepatology (Baltimore, Md.)","Despite effective treatment for chronic hepatitis C (CHC), deficiencies in diagnosis and access preclude disease elimination. Screening of baby boomers remains low. The aims of this study were to assess the impact of an electronic health record (EHR) based prompt on HCV screening rates in baby boomers in primary care, and access to specialty care and treatment among those newly diagnosed. We implemented an EHR based ""Best Practice Advisory"" (BPA) that prompted primary care providers (PCPs) to perform HCV screening for patients seen in primary care clinic: 1) born between 1945-1965; 2) lacked a prior diagnosis of HCV infection; and 3) lacked prior documented anti-HCV testing. The BPA had associated educational materials, order set, and streamlined access to specialty care for newly diagnosed patients. Pre and post BPA screening rates were compared and care of newly diagnosed patients analyzed. In the 3 years prior to BPA implementation, 52,660 baby boomers were seen in primary care clinics, and 28% were screened. HCV screening increased from 7.6% for patients with a PCP visit in the 6 months prior to BPA to 72% over the 1-year post BPA. Of 53 newly diagnosed patients, all were referred for specialty care, 11 had advanced fibrosis or cirrhosis, 20 started treatment and 9 achieved SVR thus far."
18,7,2017,"Rodrigo Rodrigues da Conceição, Janaina Sena de Souza, Kelen Carneiro de Oliveira, Rui Monteiro de Barros Maciel, Marco Aurélio Romano, Renata Marino Romano, Magnus Régios Dias da Silva, Maria Izabel Chiamorela, Gisele Giannocco",Anatomical specificity of the brain in the modulation of Neuroglobin and Cytoglobin genes after chronic bisphenol a exposure.,Metabolic brain disease,"The aim of this study was to investigate the influence of Bisphenol A (BPA) exposure on Neuroglobin (Ngb) and Cytoglobin (Cygb) as well as oxidative stress gene expression in the cerebellum, hippocampus, hypothalamus and cortex. Male Wistar rats were randomly divided into 3 groups: Control and two groups receiving 2 different daily BPA dosages, 5 or 25 mg/kg from postnatal day 50 (PND50) through PND90 and they were euthanized at PND105. In the cortex, we found an increase in Ngb gene expression and also in superoxide dismutase 1 and Catalase (Cat). In the cerebellum, we found an increase in Ngb and Cat, in the hypothalamus, there was a decrease in Cygb and an increase in glutathione peroxidase and Cat and in hypoxia-inducible factor 1 alpha (Hif1α) at the low dosage and a decrease in Hif1α at the high BPA dosage. Finally, in the hippocampus, we observed a decrease in Ngb and Cygb and an increase in Hif1α. In summary, BPA promotes the modulation of both Ngb and Cygb, but such changes occur by different mechanisms depending on the exposure dose and anatomical area."
18,7,2017,"S Kaur, M Saluja, M P Bansal",Bisphenol A induced oxidative stress and apoptosis in mice testes: Modulation by selenium.,Andrologia,"Spermatogenesis, a highly coordinated process, is prone to environmental insults which may lead to impaired spermatogenesis or, at worst, infertility. Bisphenol A (BPA) is a well-known global environmental toxicant and a ubiquitous oestrogenic chemical. This study evaluated the role of selenium (0.5 ppm sodium selenite/kg diet) on spermatogenesis after BPA treatment in different groups of male BALB/c mice: control, selenium, BPA and selenium+BPA. Markers of oxidative stress and apoptosis were evaluated in testis after BPA treatment. Significant decrease in sperm concentration and motility and increased reactive oxygen species(ROS) and LPO levels were seen in BPA group. Histopathological changes revealed extensive vacuolisation, lumen devoid of spermatozoa and decreased germ cell count, confirmed by testicular germ cell count studies. TUNEL assay for apoptosis showed increased number of TUNEL-positive germ cells in BPA group with increased percentage apoptotic index. However, in Se+BPA group, histopathological studies revealed systematic array of all germ cells, preserved basement membrane with relatively less vacuolisation, improved sperm parameters and ROS and LPO levels and decreased number of TUNEL-positive germ cells. These results clearly demonstrate the role of selenium in ameliorating oxidative stress and apoptosis induced upon BPA treatment in mice and can be further used as therapeutic target in male infertility."
18,7,2017,"Meytal Bar-Maisels, Yankel Gabet, Raanan Shamir, Sahar Hiram-Bab, Metsada Pasmanik-Chor, Moshe Phillip, Fabiana Bar-Yoseph, Galia Gat-Yablonski",Beta Palmitate Improves Bone Length and Quality during Catch-Up Growth in Young Rats.,Nutrients,"Palmitic acid (PA) is the most abundant saturated fatty acid in human milk, where it is heavily concentrated in the sn-2-position (termed beta palmitate, BPA) and as such is conserved in all women, regardless of their diet or ethnicity, indicating its physiological and metabolic importance. We hypothesized that BPA improves the efficiency of nutrition-induced catch up growth as compared to sn-1,3 PA, which is present in vegetable oil. Pre-pubertal male rats were subjected to a 17 days food restriction followed by re-feeding for nine days with 1,3 PA or BPA-containing diets. We measured bone length, epiphyseal growth plate height (EGP, histology), bone quality (micro-CT and 3-point bending assay), and gene expression (Affymetrix). The BPA-containing diet improved most growth parameters: humeri length and EGP height were greater in the BPA-fed animals. Further analysis of the EGP revealed that the hypertrophic zone was significantly higher in the BPA group. In addition, Affymetrix analysis revealed that the diet affected the expression of several genes in the liver and EGP. Despite the very subtle difference between the diets and the short re-feeding period, we found a small but significant improvement in most growth parameters in the BPA-fed rats. This pre-clinical study may have important implications, especially for children with growth disorders and children with special nutritional needs."
20,7,2017,"Xiaoqian Li, Yina Wang, Pu Wei, Dongyan Shi, Shuang Wen, Fengjiao Wu, Lixin Liu, Ninghe Ye, Hong Zhou",Bisphenol A affects trophoblast invasion by inhibiting CXCL8 expression in decidual stromal cells.,Molecular and cellular endocrinology,"Bisphenol A (BPA), an environmental endocrine-disrupting organic chemical, has been positively associated with the rate of implantation failure of in vitro fertilization. However, the underlying mechanisms remain unclear. To reveal the impact and the underlying mechanism of BPA on the crosstalk between trophoblast and decidual stromal cells (DSCs), we determined whether BPA was able to affect trophoblast invasion in vitro. We found that BPA significantly inhibited CXCL8 expression in DSCs, which hindered trophoblast invasion, and activated the phosphorylation of ERK in DSCs. U0126, an inhibitor of ERK activation, remarkably rescued trophoblast invasion and the inhibition of CXCL8 expression caused by BPA treatment. Moreover, the nuclear estrogen receptor antagonist ICI 182,780 and transmembrane G protein-coupled receptor GPR30 (membrane estrogen receptor) antagonist G15 significantly blocked the phosphorylation of ERK and reversed the reduction of trophoblast invasion. In brief, BPA activated ERK through nuclear and membrane estrogen receptors and inhibited CXCL8 expression in DSCs, thereby affecting their regulation of trophoblast invasion."
20,7,2017,"Joseph M Braun, Kimberly Yolton, Shaina L Stacy, Bahar Erar, George D Papandonatos, David C Bellinger, Bruce P Lanphear, Aimin Chen",Prenatal environmental chemical exposures and longitudinal patterns of child neurobehavior.,Neurotoxicology,"Prenatal chemical exposures may adversely affect neurodevelopment, but few studies have examined the persistence of these associations. We examined whether associations between prenatal bisphenol A (BPA) or polybrominated diphenyl ether (PBDE) exposures persist or resolve as children age."
20,7,2017,"Emily S Barrett, Sheela Sathyanarayana, Omar Mbowe, Sally W Thurston, J Bruce Redmon, Ruby H N Nguyen, Shanna H Swan","First-Trimester Urinary Bisphenol A Concentration in Relation to Anogenital Distance, an Androgen-Sensitive Measure of Reproductive Development, in Infant Girls.",Environmental health perspectives,"Evidence from animal models suggests that prenatal exposure to bisphenol A (BPA), a ubiquitous endocrine-disrupting chemical, is associated with adverse reproductive outcomes in females. Exposure during early gestation, a critical period for reproductive development, is of particular concern. Anogenital distance (AGD) is a sensitive biomarker of the fetal hormonal milieu and a measure of reproductive toxicity in animal models. In some studies, the daughters of BPA-exposed dams have shorter AGD than controls. Here, we investigate this relationship in humans."
20,7,2017,"Gail S Prins, Shu-Hua Ye, Lynn Birch, Xiang Zhang, Ana Cheong, Han Lin, Esther Calderon-Gierszal, Jacob Groen, Wen-Yang Hu, Shuk-Mei Ho, Richard B van Breemen",Prostate Cancer Risk and DNA Methylation Signatures in Aging Rats following Developmental BPA Exposure: A Dose-Response Analysis.,Environmental health perspectives,"Previous studies have uncovered heightened prostatic susceptibility to hormone-induced neoplasia from early-life exposure to low-dose bisphenol A (BPA). However, significant data gaps remain that are essential to address for biological relevance and necessary risk assessment."
21,7,2017,"Vigneswari Mullainadhan, Mangala Priya Viswanathan, Balasubramanian Karundevi",Effect of Bisphenol-A (BPA) on insulin signal transduction and GLUT4 translocation in gastrocnemius muscle of adult male albino rat.,The international journal of biochemistry & cell biology,"Environmental estrogens bind to estrogen receptors, mimic estrogenic actions, and have adverse effects on human health like Bisphenol - A (BPA) which is used as a monomer in the production of polycarbonate plastics (PC) and epoxy resins which are used in variety of canned foods. Skeletal muscle plays an essential role in maintaining systemic glucose metabolism. In the present study, we investigated the possible effects of BPA on insulin signalling molecules and GLUT4 translocation in the gastrocnemius muscle of adult male rat. Rats were divided into four groups - Group I: Control (vehicle-corn oil treated), Group II, III and IV were administered with BPA (10, 100 and 400mg/kg b.wt/day, respectively) through oral gavage. Fasting blood glucose level of BPA treated groups showed a significant increase, oral glucose tolerance and insulin tolerance were also impaired in these animals. BPA significantly decreased the protein levels of insulin signalling molecules like IR, IRS-1, Akt, AS160 and its phosphorylated forms and blunts GLUT4 translocation by altering the levels of v- and t- SNARE proteins that assist the translocation process, thereby decreasing glucose uptake and oxidation in the gastrocnemius muscle. These results suggest that BPA has detrimental effects on insulin signalling molecules and GLUT4 translocation in the gastrocnemius muscle and thus impairs glucose homeostasis."
21,7,2017,"Emanuela Pignotti, Marinella Farré, Damià Barceló, Enrico Dinelli",Occurrence and distribution of six selected endocrine disrupting compounds in surface- and groundwaters of the Romagna area (North Italy).,Environmental science and pollution research international,"Endocrine disrupting compounds (EDCs) are a wide group of contaminants of emerging concern known to be harmful for organisms. The aim of the study was to assess the occurrence and distribution of six EDCs (estrone-E1, ß-estradiol-E2, 17α-ethinylestradiol-EE2, bisphenol A-BPA, perfluooctanoic acid-PFOA, perfluorooctane sulfonate-PFOS) in the Apenninic rivers and groundwaters of the Romagna area (North of Italy). Groundwaters were unaffected by EDC contamination, while all classes of compounds were detected at concentrations above the method quantification limit (MQL) in the majority of the river bodies. In detail, PFOA and PFOS concentrations varied between <MQL and 17.7 ng/l (PFOA) and between <MQL and 5.5 ng/l (PFOS), and their occurrence in the aquatic compartment was related to the discharge of wastewater treatment plant effluents. Concerning estrogens, EE2 was below the MQL in all samples, whereas E1 and E2 reached concentrations up to 39.7 ng/l (E2) and 28 ng/l (E1) in surface waters. The highest estrogen values were registered in those areas where livestock and farming are the main activities, indicating a close relation between these activities and estrogen release into the aquatic compartment. BPA (<MQL-171.3 ng/l) distribution in river waters did not show any correlation with a specific anthropic activity; a mixture of sources of contamination (e.g., industries of food packaging and plastic production) is rather responsible for its detection in river bodies. Overall, the northern part of the Romagna area showed a higher contamination by EDCs, in contrast with the southern part, which was almost unaffected by this kind of microcontamination."
22,7,2017,"Bingli Lei, Su Sun, Jie Xu, Chenglian Feng, Yingxin Yu, Gang Xu, Minghong Wu, Wei Peng",Low-concentration BPAF- and BPF-induced cell biological effects are mediated by ROS in MCF-7 breast cancer cells.,Environmental science and pollution research international,"Reactive oxygen species (ROS) induced by bisphenol A (BPA) have been implicated in cellular oxidative damage and carcinogenesis. It is not known whether the potential alternatives of BPA, bisphenol AF (BPAF), and bisphenol F (BPF) can also induce ROS involved in mediating biological responses. This study evaluated the toxicity of BPAF and BPF on cell proliferation, DNA damage, intracellular calcium homeostasis, and ROS generation in MCF-7 human breast cancer cells. The results showed that BPAF at 0.001-1 μM and BPF at 0.01-1 μM significantly increased cell viability and at 25 and 50 μM, both compounds decreased cell viability. At 0.01-10 μM, both BPAF and BPF increased DNA damage and significantly elevated ROS and intracellular Ca(2+) levels in MCF-7 cells. These biological effects were attenuated by the ROS scavenger N-acetylcysteine (NAC), indicating that ROS played a key role in the observed biological effects of BPAF and BPF on MCF-7 cells. These findings can deepen our understanding on the toxicity of BPAF and BPF, and provide basis data to further evaluate the potential health harm and establish environmental standard of BPAF and BPF."
24,7,2017,"Alexandra Outsiou, Zacharias Frontistis, Rui S Ribeiro, Maria Antonopoulou, Ioannis K Konstantinou, Adrián M T Silva, Joaquim L Faria, Helder T Gomes, Dionissios Mantzavinos","Activation of sodium persulfate by magnetic carbon xerogels (CX/CoFe) for the oxidation of bisphenol A: Process variables effects, matrix effects and reaction pathways.",Water research,"An advanced oxidation process comprising sodium persulfate (SPS) and a novel magnetic carbon xerogel was tested for the degradation of bisphenol A (BPA), a model endocrine-disrupting compound. The catalyst, consisting of interconnected carbon microspheres with embedded iron and cobalt microparticles, was capable of activating persulfate to form sulfate and hydroxyl radicals at ambient conditions. The pseudo-first order degradation rate of BPA in ultrapure water (UPW) was found to increase with (i) increasing catalyst (25-75 mg/L) and SPS (31-250 mg/L) concentrations, (ii) decreasing BPA concentration (285-14,200 μg/L), and (iii) changing pH from alkaline to acidic values (9-3). Besides UPW, tests were conducted in drinking water, treated wastewater, groundwater and surface water; interestingly, the rate in UPW was always lower than in any other matrix containing several organic and inorganic constituents. The effect of natural organic matter (in the form of humic acids) and alcohols was detrimental to BPA degradation owing to the scavenging of radicals. Conversely, chlorides at concentrations greater than 50 mg/L had a positive effect due to the formation and subsequent participation of chlorine-containing radicals. Liquid chromatography time-of-flight mass spectrometry was employed to identify major transformation by-products (TBPs) of BPA degradation in the absence and presence of chlorides; in the latter case, several chlorinated TBPs were detected confirming the role of Cl-related radicals. Based on TBPs, main reaction pathways are proposed."
24,7,2017,"Ai-Na Meng, Ling-Xiao Chaihu, Huan-Huan Chen, Zhi-Yuan Gu",Ultrahigh adsorption and singlet-oxygen mediated degradation for efficient synergetic removal of bisphenol A by a stable zirconium-porphyrin metal-organic framework.,Scientific reports,"Bisphenol A (BPA), one of 23 most important endocrine disrupting chemicals, was efficiently removed and sequentially photodegraded by a zirconium-porphyrin metal-organic framework (MOF) catalyst under visible light for water treatment. Well control of photodegradation allows the kinetic separation of adsorption step and photodegradation step. Ultrahigh adsorption uptake of 487.69 ± 8.37 mg g(-1) is observed, while efficient photodegradation could be observed within 20 min at the rate of 0.004 mg min(-1). The synergetic effect boosts the photocatalytic efficiency and confirms that the catalysis happens inside the MOF pores other than in the solution phase. Furthermore, the mechanism was elucidated by diverse control experiments, such as in the conditions of (1)O2 scavenger, in darkness and with the changes of light sensitizing ligands. It confirmed that BPA was oxidized by the (1)O2 which was generated from porphyrin ligand within MOFs under visible-light. The excellent reusability and wide range of suitable pH range make the Zr-porphyrin MOFs practical for the photocatalytic water treatment processes."
25,7,2017,"Qian Yang, Xianhai Yang, Jining Liu, Wenjuan Ren, Yingwen Chen, Shubao Shen",Effects of BPF on steroid hormone homeostasis and gene expression in the hypothalamic-pituitary-gonadal axis of zebrafish.,Environmental science and pollution research international,"Bisphenol F (BPF) has been frequently detected in various environmental compartments, and previous studies found that BPF exhibits similar estrogenic and anti-androgenic effects on the mammalian endocrine system to those of bisphenol A (BPA). However, the potential disrupting effects of BPF on aquatic organisms and the underling disrupting mechanisms have not been investigated. In this study, the potential disrupting mechanisms of BPF on the hypothalamic-pituitary-gonadal (HPG) axis and liver were probed by employing the OECD 21-day short-term fecundity assay in zebrafish. The results show that BPF exposure (1 mg/L) impaired the reproductive function of zebrafish, as exemplified by alterations to testicular and ovarian histology of the treated zebrafish. Homogenate testosterone (T) levels in male zebrafish decreased in a concentration-dependent manner, and 17β-estradiol (E2) levels increased significantly when fish were exposed to 0.1 and 1 mg/L BPF. The real-time polymerase chain reaction was performed to examine gene expression in the HPG axis and liver. Hepatic vitellogenin expression was significantly upregulated in males, suggesting that BPF possesses estrogenic activity. The disturbed hormone balance was enhanced by the significant changes in gene expression along the HPG axis. These alterations suggest that BPF leads to adverse effects on the endocrine system of teleost fish, and that these effects were more prominent in males than in females."
